"Tiger Woods
Jack Nicklaus
Ben Hogan
Bobby Jones
Arnold Palmer
Sam Snead
Tom Watson
Gary Player
Byron Nelson
Phil Mickelson
Billy Casper
Walter Hagen
Lee Trevino
Harry Vardon
Gene Sarazen
Seve Ballesteros
Peter Thomson
Cary Middlecoff
Bobby Locke
Vijay Singh
Nick Faldo
Ernie Els
Raymond Floyd
Johnny Miller
Greg Norman"
